topic,key,t_s,value
/control/diagnostics,cycle_time_ms,60.4,0.0
/planning/diagnostics,cycle_ms,60.402,15.775508
/control/diagnostics,cycle_time_ms,60.42,0.0
/control/diagnostics,cycle_time_ms,60.44,0.0
/control/diagnostics,cycle_time_ms,60.46,0.0
/control/diagnostics,cycle_time_ms,60.48,0.0
/control/diagnostics,cycle_time_ms,60.5,0.0
/planning/diagnostics,cycle_ms,60.51,14.955593
/control/diagnostics,cycle_time_ms,60.52,0.0
/control/diagnostics,cycle_time_ms,60.54,0.0
/control/diagnostics,cycle_time_ms,60.56,0.0
/control/diagnostics,cycle_time_ms,60.58,0.0
/control/diagnostics,cycle_time_ms,60.6,0.0
/planning/diagnostics,cycle_ms,60.608,12.506689
/control/diagnostics,cycle_time_ms,60.62,0.0
/control/diagnostics,cycle_time_ms,60.64,0.0
/control/diagnostics,cycle_time_ms,60.66,0.0
/control/diagnostics,cycle_time_ms,60.68,0.0
/control/diagnostics,cycle_time_ms,60.7,0.0
/planning/diagnostics,cycle_ms,60.707,11.39685
/control/diagnostics,cycle_time_ms,60.72,0.0
